iter	Passed	Remaining
414	2850	4017
415	2856	4009
416	2863	4002
417	2868	3994
418	2876	3988
419	2883	3982
420	2890	3975
421	2895	3966
422	2900	3956
423	2907	3949
424	2912	3940
425	2917	3931
426	2924	3924
427	2929	3914
428	2935	3906
429	2942	3899
430	2955	3902
431	2961	3893
432	2967	3886
433	2974	3879
434	2980	3871
435	2988	3865
436	2994	3857
437	2999	3848
438	3005	3841
439	3011	3832
440	3016	3823
441	3021	3814
442	3026	3804
443	3030	3795
444	3038	3789
445	3043	3780
446	3048	3771
447	3054	3763
448	3059	3754
449	3065	3746
450	3073	3741
451	3080	3734
452	3087	3727
453	3092	3718
454	3098	3711
455	3104	3703
456	3109	3694
457	3117	3688
458	3122	3680
459	3130	3675
460	3136	3667
461	3141	3658
462	3149	3652
463	3155	3644
464	3160	3636
465	3167	3629
466	3171	3620
467	3177	3612
468	3183	3604
469	3189	3596
470	3195	3589
471	3201	3580
472	3206	3572
473	3211	3564
474	3216	3555
475	3222	3546
476	3230	3541
477	3235	3533
478	3241	3525
479	3249	3519
480	3255	3513
481	3264	3507
482	3284	3515
483	3291	3509
484	3298	3502
485	3305	3495
486	3312	3488
487	3317	3480
488	3323	3473
489	3333	3469
490	3343	3465
491	3349	3458
492	3357	3453
493	3364	3445
494	3371	3439
495	3377	3431
496	3382	3423
497	3389	3416
498	3397	3410
499	3403	3403
500	3409	3395
501	3414	3387
502	3420	3379
503	3426	3371
504	3432	3364
505	3440	3359
506	3447	3351
507	3453	3344
508	3460	3338
509	3467	3331
510	3475	3325
511	3481	3318
512	3489	3312
513	3496	3305
514	3502	3298
515	3508	3290
516	3514	3283
517	3522	3277
518	3528	3270
519	3536	3264
520	3541	3256
521	3548	3249
522	3556	3243
523	3561	3235
524	3569	3229
525	3574	3220
526	3581	3214
527	3587	3207
528	3593	3199
529	3601	3194
530	3607	3186
531	3613	3178
532	3619	3171
533	3626	3164
534	3633	3158
535	3639	3150
536	3646	3143
537	3652	3136
538	3658	3129
539	3665	3122
540	3670	3114
541	3676	3106
542	3683	3100
543	3688	3091
544	3694	3084
545	3700	3077
546	3706	3069
547	3714	3064
548	3723	3058
549	3730	3052
550	3736	3045
551	3742	3037
552	3749	3030
553	3755	3023
554	3763	3017
555	3769	3009
556	3774	3002
557	3781	2995
558	3786	2986
559	3791	2979
560	3797	2971
561	3803	2964
562	3812	2959
563	3818	2951
564	3824	2944
