iter	Logloss
0	0.6811665634
1	0.6690369745
2	0.6568521864
3	0.6466131931
4	0.6367664529
5	0.627698126
6	0.6171557964
7	0.6086791771
8	0.6004126014
9	0.5923887713
10	0.5855379886
11	0.5786595965
12	0.5711611218
13	0.565455367
14	0.5596058426
15	0.5530510311
16	0.5477568515
17	0.5420271022
18	0.5373634084
19	0.5321730315
20	0.5268037939
21	0.5225663679
22	0.5186741127
23	0.5149594135
24	0.5107014649
25	0.5068555353
26	0.5036410044
27	0.4999598102
28	0.496855572
29	0.4933088464
30	0.490263345
31	0.4872132136
32	0.4836997506
33	0.4811406416
34	0.4784874187
35	0.4760487721
36	0.4736487586
37	0.4704866662
38	0.4679964549
39	0.4656700882
40	0.4636412214
41	0.4612833362
42	0.459174782
43	0.457576001
44	0.455308518
45	0.4529303551
46	0.4510398821
47	0.4492067098
48	0.4470243296
49	0.4453658787
50	0.4432725996
51	0.4414229312
52	0.4399434545
53	0.4377047939
54	0.4362359176
55	0.434417993
56	0.4329385886
57	0.4315792768
58	0.430202582
59	0.4286317066
60	0.4269819389
61	0.4259527407
62	0.4248167896
63	0.4237285028
64	0.4224130291
65	0.4212150048
66	0.4202007664
67	0.4191288263
68	0.4177512682
69	0.4164972483
70	0.4154884526
71	0.4147779674
72	0.4138503674
73	0.4128282215
74	0.4114958935
75	0.4102829732
76	0.4090746082
77	0.4078441925
78	0.4070785391
79	0.4059493931
80	0.4046880018
81	0.4038867242
82	0.4025905999
83	0.4016172236
84	0.4007446782
85	0.4000585942
86	0.3993240938
87	0.3984484357
88	0.3972038908
89	0.3961643765
90	0.3952414565
91	0.3944213541
92	0.3934015005
93	0.3926492494
94	0.3915234826
95	0.3907904348
96	0.3899968744
97	0.3892191823
98	0.388686436
99	0.387780317
100	0.3872452873
101	0.3862098324
102	0.3855179921
103	0.3847831522
104	0.3838700135
105	0.3827189536
106	0.3817943518
107	0.3813664117
108	0.3806917318
109	0.3802145651
110	0.3797399943
111	0.3791837515
112	0.3780560028
113	0.3772184359
114	0.3763738718
115	0.3757914641
116	0.3752684271
117	0.3746803859
118	0.374107541
119	0.3733253144
120	0.372759981
121	0.3721167197
122	0.3713595766
123	0.3710400151
124	0.3702854898
125	0.3699155256
126	0.3692989502
127	0.3687955357
128	0.3681170667
129	0.3677023444
130	0.3672185239
131	0.3667157492
132	0.3662814253
133	0.3656653362
134	0.3653056578
135	0.364840715
136	0.3641293543
137	0.3633224627
138	0.3626868366
139	0.3621079535
140	0.3613697664
141	0.3608892666
142	0.3604954503
143	0.360093886
144	0.3596072896
145	0.3592498369
146	0.3587883293
147	0.3581956285
148	0.3577724752
149	0.3572441978
150	0.3568713727
151	0.3563386985
152	0.3558835254
153	0.3552087718
154	0.3545823179
155	0.3541974938
156	0.353757739
157	0.3532228311
158	0.352714307
159	0.3520727512
160	0.3517182844
161	0.3514050006
162	0.351136626
163	0.3508608208
164	0.350503856
165	0.3499378148
166	0.3496258255
167	0.3488579874
168	0.3484035773
169	0.347979386
170	0.3476328338
171	0.347320746
172	0.3470543917
173	0.3467452177
174	0.3463950051
175	0.3459611864
176	0.3454883993
177	0.3451349386
178	0.3445322993
179	0.3440515064
180	0.3436622919
181	0.3432960666
182	0.3429828903
183	0.3426648439
184	0.3421502487
185	0.3419303836
186	0.3416095266
187	0.3413204361
188	0.3410277198
189	0.3407083874
190	0.3403779982
191	0.340076866
192	0.3397502387
193	0.3395210165
194	0.339236381
195	0.3388298327
196	0.3385245272
197	0.3382877863
198	0.3379989443
199	0.3377605362
200	0.3374933497
201	0.3372277743
202	0.3368886579
203	0.3366252685
204	0.3361652607
205	0.3359030003
206	0.3356862539
207	0.3353023717
208	0.3348641608
209	0.3347343253
210	0.3343337006
211	0.3340588313
212	0.3339154161
213	0.3336140377
214	0.3332380291
215	0.3328395824
216	0.3326193588
217	0.3324348769
218	0.3322596475
219	0.3320841504
220	0.3318195903
221	0.3315807428
222	0.3313247485
223	0.3309900484
224	0.330658845
225	0.3304603245
226	0.3301396789
227	0.3298107391
228	0.3294336876
229	0.329191077
230	0.328772126
231	0.3285487517
232	0.3284008813
233	0.3281846939
234	0.3279458192
235	0.3277613757
236	0.3275329067
237	0.3272592752
238	0.3269942163
239	0.3266218851
240	0.3263685579
241	0.3261825847
242	0.3259772263
243	0.3256603576
244	0.325350294
245	0.3250597497
246	0.3248339128
247	0.3245743
248	0.3244087916
249	0.3242330899
250	0.3239309023
251	0.323750198
252	0.3234766435
253	0.3232119075
254	0.3229259765
255	0.322630858
256	0.3223350645
257	0.3220367152
258	0.3217452166
259	0.3214087601
260	0.3211401141
261	0.3209586141
262	0.3207861115
263	0.3205136634
264	0.3202884931
265	0.320010741
266	0.3198588797
267	0.3197209732
268	0.3195495959
269	0.3193459231
270	0.3190675811
271	0.3188031382
272	0.3185456377
273	0.3183223227
274	0.3180954175
275	0.3179400188
276	0.317739852
277	0.3174815165
278	0.3173238817
279	0.3170980099
280	0.3170046654
281	0.3168962513
282	0.3166783573
283	0.316387901
284	0.3162350811
285	0.3160074712
286	0.3158093887
287	0.3155721518
288	0.3153519647
289	0.3151081366
290	0.3148707358
291	0.3147166758
292	0.3145113195
293	0.3143305626
294	0.3141784394
295	0.3139120359
296	0.3136563549
297	0.3134679513
298	0.3133214191
299	0.313043935
300	0.3128583597
301	0.3127238866
302	0.3124980854
303	0.3122388805
304	0.3119789271
305	0.3117566262
306	0.3114645937
307	0.3112091243
308	0.3110244351
309	0.3107384826
310	0.3105371048
311	0.3103540787
312	0.3101797397
313	0.3099228466
314	0.3096706205
315	0.3094500205
316	0.3093183462
317	0.3090948528
318	0.3089538177
319	0.3087364859
320	0.3085351022
321	0.3083283591
322	0.3080590915
323	0.3079101012
324	0.3077228807
325	0.3075869619
326	0.3074395614
327	0.3072935462
328	0.3070261021
329	0.3068645127
330	0.306525395
331	0.3064104914
332	0.3062228969
333	0.3060379062
334	0.3059022391
335	0.3056925652
336	0.3054883215
337	0.3053416545
338	0.3051173483
339	0.3049354658
340	0.3048561258
